,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
14346,65,65,2,2,4,4,0,0
14347,44,42,1,1,2,3,0,0
14348,46,48,1,1,2,1,0,0
14349,59,58,0,0,3,3,0,0
14350,47,47,1,1,2,2,0,0
14351,51,53,0,0,2,2,0,0
14352,53,49,2,2,4,4,0,0
14353,59,58,1,1,2,2,0,0
14354,36,39,3,4,4,4,0,0
14355,32,30,3,2,2,3,0,0
14356,38,39,2,2,2,1,0,0
14357,39,39,1,1,2,2,0,0
14358,36,36,2,2,2,2,0,0
14359,62,57,1,1,11,11,0,0
14360,52,56,1,1,2,2,0,0
14361,40,44,2,2,1,2,0,0
14362,51,50,0,0,7,6,0,0
14363,37,37,4,4,0,1,0,0
14364,45,40,1,2,4,3,0,0
14365,56,53,1,0,0,0,0,0
14366,47,51,3,4,3,3,0,0
14367,43,45,4,4,3,3,0,0
14368,50,50,4,3,1,1,0,0
14369,1,2,0,0,0,0,0,0
14370,41,28,1,2,3,2,0,0
14371,24,27,2,2,0,1,0,0
14372,29,30,4,3,1,0,0,0
14373,28,36,1,1,3,3,0,0
14374,35,32,0,2,5,5,0,0
14375,52,55,3,1,1,2,0,0
14376,42,50,3,4,3,3,0,0
14377,41,42,1,1,3,2,0,0
14378,39,38,3,2,1,1,0,0
14379,43,41,1,1,1,2,0,0
14380,37,32,2,2,2,2,0,0
14381,41,39,0,0,8,7,0,0
14382,47,49,1,2,0,2,0,0
14383,52,47,3,3,8,6,0,0
14384,46,50,1,2,4,8,0,0
14385,32,38,3,1,5,1,0,0
14386,46,46,1,1,5,5,0,0
14387,33,34,0,0,4,5,0,0
14388,55,47,1,1,4,5,0,0
14389,61,67,3,3,6,4,0,0
14390,57,54,1,1,4,5,0,0
14391,32,31,0,0,1,3,0,0
14392,35,39,1,4,5,4,0,0
14393,30,33,3,0,4,4,0,0
14394,45,43,0,0,7,8,0,0
14395,52,51,1,1,6,4,0,0
14396,70,65,3,3,3,2,0,0
